iddistrito|nombre|ruta_osm
1|LIMA|http://global.mapit.mysociety.org/area/557247.wkt
2|ANCON|http://global.mapit.mysociety.org/area/557225.wkt
3|ATE VITARTE|http://global.mapit.mysociety.org/area/430024.wkt
4|BARRANCO|http://global.mapit.mysociety.org/area/280706.wkt
5|BRENA|http://global.mapit.mysociety.org/area/557228.wkt
6|CARABAYLLO|http://global.mapit.mysociety.org/area/557231.wkt
7|CHACLACAYO|http://global.mapit.mysociety.org/area/95228.wkt
8|CHORRILLOS|http://global.mapit.mysociety.org/area/671447.wkt
9|CIENEGUILLA|http://global.mapit.mysociety.org/area/95235.wkt
10|COMAS|http://global.mapit.mysociety.org/area/557234.wkt
11|EL AGUSTINO|http://global.mapit.mysociety.org/area/280713.wkt
12|INDEPENDENCIA|http://global.mapit.mysociety.org/area/557241.wkt
13|JESUS MARIA|http://global.mapit.mysociety.org/area/557242.wkt
14|LA MOLINA|http://global.mapit.mysociety.org/area/557243.wkt
15|LA VICTORIA|http://global.mapit.mysociety.org/area/671448.wkt
16|LINCE|http://global.mapit.mysociety.org/area/95277.wkt
17|LOS OLIVOS|http://global.mapit.mysociety.org/area/557248.wkt
18|LURIGANCHO|http://global.mapit.mysociety.org/area/95281.wkt
19|LURIN|http://global.mapit.mysociety.org/area/557249.wkt
20|MAGDALENA DEL MAR|http://global.mapit.mysociety.org/area/95285.wkt
21|PUEBLO LIBRE|http://global.mapit.mysociety.org/area/557250.wkt
22|MIRAFLORES|http://global.mapit.mysociety.org/area/557252.wkt
23|PACHACAMAC|http://global.mapit.mysociety.org/area/557253.wkt
24|PUCUSANA|http://global.mapit.mysociety.org/area/557255.wkt
25|PUENTE PIEDRA|http://global.mapit.mysociety.org/area/671449.wkt
26|PUNTA HERMOSA|http://global.mapit.mysociety.org/area/95305.wkt
27|PUNTA NEGRA|http://global.mapit.mysociety.org/area/95306.wkt
28|RIMAC|http://global.mapit.mysociety.org/area/557257.wkt
29|SAN BARTOLO|http://global.mapit.mysociety.org/area/95316.wkt
30|SAN BORJA|http://global.mapit.mysociety.org/area/671450.wkt
31|SAN ISIDRO|http://global.mapit.mysociety.org/area/95321.wkt
32|SAN JUAN DE LURIGANCHO|http://global.mapit.mysociety.org/area/557260.wkt
33|SAN JUAN DE MIRAFLORES|http://global.mapit.mysociety.org/area/280723.wkt
34|SAN LUIS|http://global.mapit.mysociety.org/area/671451.wkt
35|SAN MARTIN DE PORRES|http://global.mapit.mysociety.org/area/557263.wkt
36|SAN MIGUEL|http://global.mapit.mysociety.org/area/280726.wkt
37|SANTA ANITA|http://global.mapit.mysociety.org/area/280727.wkt
38|SANTA MARIA DEL MAR|http://global.mapit.mysociety.org/area/557267.wkt
39|SANTA ROSA|http://global.mapit.mysociety.org/area/557268.wkt
40|SANTIAGO DE SURCO|http://global.mapit.mysociety.org/area/671452.wkt
41|SURQUILLO|http://global.mapit.mysociety.org/area/557271.wkt
42|VILLA EL SALVADOR|http://global.mapit.mysociety.org/area/557273.wkt
43|VILLA MARIA DEL TRIUNFO|http://global.mapit.mysociety.org/area/557274.wkt
51|CALLAO|http://global.mapit.mysociety.org/area/671446.wkt
52|BELLAVISTA|http://global.mapit.mysociety.org/area/280707.wkt
53|CARMEN DE LA LEGUA REYNOSO|http://global.mapit.mysociety.org/area/280710.wkt
54|LA PERLA|http://global.mapit.mysociety.org/area/95266.wkt
55|LA PUNTA|http://global.mapit.mysociety.org/area/557244.wkt
56|VENTANILLA|http://global.mapit.mysociety.org/area/671453.wkt
57|MI PERU|http://global.mapit.mysociety.org/area/677656.wkt
