WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.066207 -12.035355,-77.072248 -12.035901);4;0.66;0;0.63;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.32;1.32;1.32;1.32;4;4;9.91;9.91;;;;;;;;1;1;1
LINESTRING (-77.077646 -12.03586,-77.073493 -12.035033,-77.070962 -12.03466,-77.067107 -12.035244);7;1.16;0;1.16;1;;Vicente Morales Duarez;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;33.13;99.78;30.25;78.96;30.97;78.96;1.55;1.55;1.55;1.55;45;45;17.47;17.47;;;2;2;2.8;2.8;25;1;1;1
LINESTRING (-77.070352 -12.010902,-77.068299 -12.010219);23;0.24;0;0.24;1;;Tomas Valle;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;565.88;496.22;480.51;411.11;480.51;472.25;0.31;0.31;0.39;0.33;36.51;41.41;3.54;3.54;;;0.4;0.4;0.57;0.57;25;1;1;1
LINESTRING (-77.066605 -12.028092,-77.067383 -12.027803,-77.067978 -12.027803,-77.068352 -12.02786,-77.068966 -12.028066,-77.06927 -12.028171);29;0.3;0;0.3;2;101;Jose Granda;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;515.27;317.99;217.11;227.86;217.11;321.81;0.4;0.4;0.56;0.56;28.3;22.72;4.53;4.53;;;0.52;0.52;0.73;0.73;25;1;1;1
LINESTRING (-77.072908 -12.031868,-77.067727 -12.031822);32;0.56;0;0.56;2;;Peru;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;784.76;593.89;635.47;385.84;659.98;554.98;0.75;0.75;0.91;0.76;27.84;29.81;8.46;8.46;;;0.97;0.97;1.35;1.35;25;1;1;1
LINESTRING (-77.071641 -11.991213,-77.065217 -11.990244);37;0.71;0;0.71;1;;Carlos Alberto Izaguirre;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;937.11;1297.45;684.87;651.61;684.87;651.61;0.94;0.94;0.98;0.98;42.92;44.08;10.62;10.62;;;1.21;1.21;1.7;1.7;25;1;1;1
LINESTRING (-77.072226 -11.983741,-77.065493 -11.984307);44;0.74;0;0.74;1;;Los Alisos;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;76.84;96.45;32.68;45.18;32.68;45.18;0.98;0.98;1.13;0.99;33.9;41.44;11.04;11.04;;;1.26;1.26;1.77;1.77;25;1;1;1
LINESTRING (-77.072473 -11.972215,-77.067015 -11.971405);54;0.6;0;0.6;2;;Rio Maranon;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;;;;;0;0;0.8;0.8;0.8;0.8;30;30;9.02;9.02;;;1.03;1.03;1.44;1.44;25;1;1;1
LINESTRING (-77.072473 -11.972215,-77.072518 -11.970891,-77.072433 -11.970305,-77.072261 -11.969708,-77.071951 -11.969059,-77.07178 -11.968734,-77.071533 -11.968378,-77.071287 -11.968085,-77.070913 -11.967719,-77.070153 -11.96719);55;0.65;0;0.65;2;;Las Palmeras;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;41.03;185;33.78;145.54;33.78;173;0.87;0.87;0.87;0.89;30;29.86;9.74;9.74;;;1.11;1.11;1.56;1.56;25;1;1;1
LINESTRING (-77.063913 -11.970057,-77.06703 -11.970499,-77.067172 -11.970407);13491;0.36;0;0.54;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.72;0.72;0.72;0.72;4;4;5.42;5.42;;;;;;;;1;1;1
