idruta|idsolucion|frecuencia|osm_id|osm_nombre|flota
4185996|1|0|4185996|ruta|0
4186018|1|0|4186018|ruta|0
4204154|1|0|4204154|ruta|0
4204339|1|0|4204339|ruta|0
4207525|1|0|4207525|ruta|0
4207599|1|0|4207599|ruta|0
4210264|1|0|4210264|ruta|0
4211259|1|0|4211259|ruta|0
4213726|1|0|4213726|ruta|0
4213753|1|0|4213753|ruta|0
4213873|1|0|4213873|ruta|0
4214218|1|0|4214218|ruta|0
4218929|1|0|4218929|ruta|0
4218937|1|0|4218937|ruta|0
4218948|1|0|4218948|ruta|0
4218959|1|0|4218959|ruta|0
4227437|1|0|4227437|ruta|0
4275312|1|0|4275312|ruta|0
4464806|1|0|4464806|ruta|0
4466970|1|0|4466970|ruta|0
4467006|1|0|4467006|ruta|0
4467064|1|0|4467064|ruta|0
4471136|1|0|4471136|ruta|0
4476537|1|0|4476537|ruta|0
4479736|1|0|4479736|ruta|0
4522205|1|0|4522205|ruta|0
4522321|1|0|4522321|ruta|0
4523915|1|0|4523915|ruta|0
4537215|1|0|4537215|ruta|0
4537820|1|0|4537820|ruta|0
4538026|1|0|4538026|ruta|0
4540483|1|0|4540483|ruta|0
4542795|1|0|4542795|ruta|0
4547081|1|0|4547081|ruta|0
4553831|1|0|4553831|ruta|0
4553981|1|0|4553981|ruta|0
4554819|1|0|4554819|ruta|0
4555931|1|0|4555931|ruta|0
4558489|1|0|4558489|ruta|0
4560452|1|0|4560452|ruta|0
4565752|1|0|4565752|ruta|0
4573844|1|0|4573844|ruta|0
4580910|1|0|4580910|ruta|0
4584343|1|0|4584343|ruta|0
4586798|1|0|4586798|ruta|0
4596722|1|0|4596722|ruta|0
4598747|1|0|4598747|ruta|0
4599262|1|0|4599262|ruta|0
4599922|1|0|4599922|ruta|0
4625673|1|0|4625673|ruta|0
4628724|1|0|4628724|ruta|0
4628840|1|0|4628840|ruta|0
4628891|1|0|4628891|ruta|0
4629072|1|0|4629072|ruta|0
4629099|1|0|4629099|ruta|0
4629223|1|0|4629223|ruta|0
4629224|1|0|4629224|ruta|0
4629368|1|0|4629368|ruta|0
4631320|1|0|4631320|ruta|0
4631321|1|0|4631321|ruta|0
4631322|1|0|4631322|ruta|0
4631324|1|0|4631324|ruta|0
4631775|1|0|4631775|ruta|0
4632207|1|0|4632207|ruta|0
4643231|1|0|4643231|ruta|0
