idtipovia|nombretipo|rutasmax
201|lane|10
204|opposite|10
203|opposite_lane|10
202|track|10
120|bridleway|10
116|bus_guideway|10
121|byway|10
118|cycleway|10
119|footway|10
111|living_street|10
101|motorway|10
103|motorway_junction|10
102|motorway_link|10
117|path|10
114|pedestrian|10
106|primary|10
107|primary_link|10
110|residential|10
100|road|10
108|secondary|10
124|secondary_link|10
112|service|10
115|services|10
122|steps|10
109|tertiary|10
125|tertiary_link|10
113|track|10
104|trunk|10
105|trunk_link|10
123|unclassified|10
401|roundabout|10
301|grade1|10
302|grade2|10
303|grade3|10
304|grade4|10
305|grade5|10
