idvia|nombre|velocidadprom|accesible|idtipovia
1|-|40|True|110
2|-|40|True|102
3|1|40|True|110
4|10 de Diciembre|40|True|110
5|10 de Enero|40|True|110
6|10 de Febrero|40|True|110
7|10 de Junio|40|True|110
8|10 de Noviembre|40|True|110
9|11 de Agosto|40|True|110
10|11 de Junio|40|True|110
11|11 de Setiembre|40|True|110
12|12 de Diciembre|40|True|110
13|12 de Febrero|40|True|110
14|12 de Junio|40|True|110
15|12 de Noviembre|40|True|110
16|12 de Octubre|40|True|110
17|12 De Octubre|40|True|110
18|13 de Diciembre|40|True|110
19|13 de Enero|40|True|108
20|13 de Julio|40|True|110
21|13 de Octubre|40|True|110
22|14 De Diciembre|40|True|110
23|14 de Enero|40|True|110
24|14 de Noviembre|40|True|110
25|14 de Setiembre|40|True|110
26|15 de Abril|40|True|110
27|15 de Agosto|40|True|110
28|15 De Agosto|40|True|110
29|15 de Julio|40|True|109
30|15 de Octubre|40|True|110
31|16 de Agosto|40|True|110
32|16 de Diciembre|40|True|110
33|16 de Febrero|40|True|110
34|16 de Marzo|40|True|110
35|16 De Marzo|40|True|108
36|17 de Noviembre|40|True|110
37|18 Amigos|40|True|110
38|18 de Enero|40|True|110
39|18 De Enero|40|True|110
40|19 de Agosto|40|True|110
41|19 de Julio|40|True|110
42|1 de Mayo|40|True|110
43|1 De Mayo|40|True|110
44|1 de Octubre|40|True|110
45|1º de mayo|40|True|110
46|1ro de Mayo|40|True|108
47|2|40|True|110
48|200 millas|40|True|108
49|20 de Agosto|40|True|110
50|20  de Diciembre|40|True|110
51|20 de Enero|40|True|108
52|20 de Julio|40|True|110
53|21 de Enero|40|True|110
54|21 de Febrero|40|True|110
55|21 de Junio|40|True|110
56|21 de Setiembre|40|True|110
57|22 de Abril|40|True|110
58|22 de Agosto|40|True|106
59|22 De Agosto|40|True|106
60|22 de Julio|40|True|110
61|23 de Diciembre|40|True|110
62|23 De Diciembre|40|True|110
63|23 de Mayo|40|True|110
64|23 de Setiembre|40|True|110
65|24 de Abril|40|True|110
66|24 de Agosto|40|True|110
67|24 de Julio|40|True|110
68|24 de Junio|40|True|110
69|24 de Octubre|40|True|110
70|25 de Abril|40|True|110
71|25 de Diciembre|40|True|110
72|25 DE DICIEMBRE|40|True|110
73|25 de Enero|40|True|110
74|25 de Setiembre|40|True|110
75|26 de Julio|40|True|110
76|26 de Junio|40|True|110
77|26 de Mayo|40|True|110
78|26 de Noviembre|40|True|108
79|27 de Abril|40|True|110
80|27 de Diciembre|40|True|110
81|27 de Mayo|40|True|110
82|27 de Noviembre|40|True|110
83|27 de Octubre|40|True|110
84|27 de Setiembre|40|True|110
85|28 de Diciembre|40|True|110
86|28 de julio|40|True|110
87|28 de Julio|40|True|110
88|28 De Julio|40|True|110
89|28 DE JULIO|40|True|110
90|28 de Marzo|40|True|110
91|28 de Mayo|40|True|110
92|29 de Diciembre|40|True|110
93|29 de Marzo|40|True|110
94|2 de Agosto|40|True|110
95|2 de Febrero|40|True|110
96|2 de Marzo|40|True|110
97|2 de mayo|40|True|110
98|2 de Mayo|40|True|110
99|2 de Octubre|40|True|106
100|2 de Setiembre|40|True|110
101|3|40|True|110
102|30 de Agosto|40|True|110
103|30 De Agosto|40|True|110
104|30 DE AGOSTO|40|True|110
105|30 De Enero|40|True|110
106|30 de Mayo|40|True|110
107|31 de Julio|40|True|110
108|33|40|True|110
109|34|40|True|110
110|35|40|True|110
111|36|40|True|110
112|37|40|True|110
113|37 Dias|40|True|110
114|38|40|True|110
115|3 de Diciembre|40|True|110
