idnodo|longitud|latitud
91139|-77.0110975|-12.0076466
40135|-76.9512133|-12.1654631
89370|-76.8092091|-12.3494419
89371|-76.8084213|-12.3498221
89372|-76.8117891|-12.3456617
89373|-76.8109444|-12.3464615
89374|-76.8098581|-12.347539
89375|-76.8081299|-12.3495141
89376|-76.8078064|-12.3498134
89377|-76.8074839|-12.3501168
89378|-76.8066152|-12.3509472
89379|-76.8053984|-12.3525776
22749|-77.0905568|-12.0236017
5988|-77.0826454|-12.0616472
5989|-77.0825905|-12.0619205
5982|-76.7963273|-12.4830806
5983|-77.0857441|-12.0816665
5980|-77.0852473|-12.07945
5981|-76.7965091|-12.4826392
5986|-77.0872105|-12.0848218
5987|-77.0827729|-12.0610469
5984|-77.086184|-12.0826385
5985|-77.0870152|-12.0843967
82449|-77.1425933|-11.8371221
82448|-77.1443545|-11.8370122
82443|-77.1468759|-11.8379856
82442|-77.1474048|-11.8380123
82441|-77.1467871|-11.8448892
82440|-77.1471478|-11.8443113
82447|-77.1444745|-11.8370832
82446|-77.1444156|-11.8393186
82445|-77.1455928|-11.8383019
82444|-77.1459323|-11.8382104
10550|-76.9449645|-12.1014834
54545|-76.9707945|-12.0415841
97159|-76.8528612|-12.0081085
97158|-76.8522735|-12.008124
97153|-76.8500719|-12.0089242
97152|-76.8500567|-12.0095801
97151|-76.8500271|-12.0100113
97150|-76.8499841|-12.0107237
97157|-76.8514443|-12.0081519
97156|-76.8494263|-12.0081472
97155|-76.8500757|-12.0081358
97154|-76.8500733|-12.0088649
54544|-76.831618|-11.978044
270|-77.068089|-11.9649251
271|-77.0296433|-12.0429693
272|-77.0222175|-12.0429959
273|-77.0559994|-12.0314295
274|-77.056131|-12.031255
275|-77.057047|-12.0280312
276|-77.0576225|-12.0279689
277|-77.0580108|-12.0276466
278|-77.0584148|-12.0284264
279|-77.0590508|-12.0293003
16707|-77.0147852|-12.1499912
16706|-77.0150651|-12.149753
16701|-77.0166271|-12.1437029
16700|-77.0171119|-12.1442377
16703|-77.0137625|-12.1405066
16702|-77.0161038|-12.1431322
88023|-77.014715|-11.8818022
88022|-77.0150386|-11.8815957
88021|-77.0034838|-11.8772509
88020|-77.0036853|-11.8775264
88027|-77.005159|-11.8788281
88026|-77.0132172|-11.8795602
88025|-77.0112462|-11.8780579
88024|-77.0103724|-11.8765271
88029|-77.0021594|-11.8771635
88028|-77.0035887|-11.8797817
94080|-77.1229315|-11.8556187
17258|-77.0551068|-12.0699811
17259|-77.0588859|-12.0719169
22742|-77.090615|-12.0282749
17250|-77.0578548|-12.0686686
17251|-77.0575152|-12.0689473
17252|-77.05795|-12.0681806
17253|-77.0591378|-12.0707885
17254|-77.0590133|-12.0707336
17255|-77.057344|-12.0703877
17256|-77.0567526|-12.070274
17257|-77.0558442|-12.0701093
63024|-76.9687176|-11.93849
63025|-76.9691407|-11.9382014
10709|-76.9407429|-12.0991207
10708|-76.9411922|-12.0997086
63020|-76.9673701|-11.9391011
63021|-76.9676091|-11.9392462
63022|-76.9679346|-11.9390241
63023|-76.9683351|-11.938751
10703|-76.9402438|-12.1004763
10702|-76.9403155|-12.1009498
10701|-76.9404906|-12.1014992
10700|-76.9420838|-12.1026007
10707|-76.9412044|-12.0998428
10706|-76.9412469|-12.10034
10705|-76.9428134|-12.1013314
10704|-76.9417029|-12.0997787
22743|-77.0901362|-12.0271272
21619|-77.0678317|-11.9807487
21618|-77.0686099|-11.9806328
21615|-77.0696732|-11.9804603
21614|-77.0701836|-11.9803723
21617|-77.0688174|-11.9805971
21616|-77.0691555|-11.980539
21611|-77.0722336|-11.9800695
21610|-77.0723922|-11.9800426
21613|-77.0706978|-11.9803047
21612|-77.0716997|-11.9801525
42089|-76.9732339|-12.0659776
42088|-76.9742382|-12.0663855
20151|-77.0527026|-12.0276219
62369|-76.9964918|-11.9516063
20153|-77.0539042|-12.028429
22741|-77.0906434|-12.0283453
46869|-76.9155291|-12.2410328
46868|-76.9157268|-12.2406883
20152|-77.0534904|-12.0281511
58079|-77.0326601|-11.942694
58078|-77.0450009|-11.9442552
46861|-76.772053|-12.0911377
46860|-76.7724276|-12.0915008
46863|-76.9763011|-12.0412283
46862|-76.7965876|-12.1017399
46865|-76.958771|-12.191051
46864|-76.9762966|-12.0408583
46867|-76.9159294|-12.2403351
46866|-76.9159625|-12.2402774
20157|-77.0555358|-12.0295249
20156|-77.0550721|-12.0292134
22746|-77.0894106|-12.025433
62360|-76.9942922|-11.9541057
62361|-76.9932925|-11.9536955
22747|-77.0891698|-12.0248725
22744|-77.0898935|-12.0265571
13058|-77.1032804|-12.0633043
13059|-77.102488|-12.0632244
13052|-77.1063623|-12.0653884
13053|-77.1063777|-12.0646553
13050|-77.1055208|-12.0641954
13051|-77.1045499|-12.0641565
13056|-77.1045491|-12.0633221
13057|-77.10394|-12.0633728
13054|-77.1036298|-12.0614071
13055|-77.1034186|-12.0615105
