ID|NAME|TIPO|geom|idzona
7|Vicente Morales Duarez|1|SRID=4326;LINESTRING (-77.077646 -12.03586,-77.073493 -12.035033,-77.070962 -12.03466,-77.067107 -12.035244)|0
23|Tomas Valle|1|SRID=4326;LINESTRING (-77.070352 -12.010902,-77.068299 -12.010219)|0
29|Jose Granda|2|SRID=4326;LINESTRING (-77.066605 -12.028092,-77.067383 -12.027803,-77.067978 -12.027803,-77.068352 -12.02786,-77.068966 -12.028066,-77.06927 -12.028171)|0
32|Peru|2|SRID=4326;LINESTRING (-77.072908 -12.031868,-77.067727 -12.031822)|0
37|Carlos Alberto Izaguirre|1|SRID=4326;LINESTRING (-77.071641 -11.991213,-77.065217 -11.990244)|0
44|Los Alisos|1|SRID=4326;LINESTRING (-77.072226 -11.983741,-77.065493 -11.984307)|0
54|Rio Maranon|2|SRID=4326;LINESTRING (-77.072473 -11.972215,-77.067015 -11.971405)|0
55|Las Palmeras|2|SRID=4326;LINESTRING (-77.072473 -11.972215,-77.072518 -11.970891,-77.072433 -11.970305,-77.072261 -11.969708,-77.071951 -11.969059,-77.07178 -11.968734,-77.071533 -11.968378,-77.071287 -11.968085,-77.070913 -11.967719,-77.070153 -11.96719)|0
57|Universitaria|1|SRID=4326;LINESTRING (-77.071766 -11.963863,-77.071594 -11.963863,-77.071282 -11.963694)|0
63|Naranjal|1|SRID=4326;LINESTRING (-77.069013 -11.978001,-77.072257 -11.978504)|0
70|25 De Enero|2|SRID=4326;LINESTRING (-77.071007 -11.94556,-77.066425 -11.944769)|0
72|Panamericana Norte|4|SRID=4326;LINESTRING (-77.071007 -11.94556,-77.071068 -11.945703,-77.071001 -11.946226,-77.070412 -11.949802)|0
80|Ca. 1 (Los Proceres)|2|SRID=4326;LINESTRING (-77.071771 -11.937647,-77.071196 -11.937614,-77.068361 -11.937337,-77.068189 -11.937474,-77.067879 -11.937447)|0
90|Heroes Del Cenepa|1|SRID=4326;LINESTRING (-77.072373 -11.930531,-77.071884 -11.93056,-77.071278 -11.930531,-77.070779 -11.930479,-77.070446 -11.930449,-77.070196 -11.930397,-77.069985 -11.930353,-77.069788 -11.930301,-77.069443 -11.930164)|0
113|Central|2|SRID=4326;LINESTRING (-77.073005 -11.959333,-77.068988 -11.958736)|0
115|Universitaria|1|SRID=4326;LINESTRING (-77.069488 -11.962653,-77.07019 -11.962864,-77.070766 -11.96315)|0
119|Av. Principal|2|SRID=4326;LINESTRING (-77.074519 -11.882545,-77.073515 -11.882526,-77.072274 -11.882244,-77.071878 -11.882191,-77.070207 -11.881502,-77.069747 -11.881372,-77.069186 -11.881353,-77.068666 -11.881316)|0
1713|Huarangal|5|SRID=4326;LINESTRING (-77.040508 -11.828157,-77.043695 -11.828678,-77.04458 -11.828792)|0
1716|Panamericana Norte|4|SRID=4326;LINESTRING (-77.068666 -11.881316,-77.067733 -11.901363,-77.067662 -11.902603,-77.067812 -11.903357,-77.068347 -11.905011,-77.069117 -11.906372,-77.073381 -11.91281,-77.073582 -11.91312)|0
1721|Panamericana Norte|4|SRID=4326;LINESTRING (-77.069195 -11.956718,-77.069501 -11.954736)|0
1815|Blondet|5|SRID=4326;LINESTRING (-77.072627 -11.964619,-77.070153 -11.96719)|0
1867|Pariahuanca|5|SRID=4326;LINESTRING (-77.068554 -11.980692,-77.072313 -11.980094)|0
2090|Acceso a Universitaria|5|SRID=4326;LINESTRING (-77.068885 -11.959998,-77.068984 -11.960447,-77.069074 -11.960632,-77.069182 -11.960773,-77.069398 -11.961019,-77.069749 -11.961301,-77.07019 -11.962155,-77.070514 -11.962807,-77.070766 -11.96315)|0
2191|San Juan|5|SRID=4326;LINESTRING (-77.056057 -11.86214,-77.061822 -11.864105,-77.065077 -11.864028,-77.068011 -11.86383)|0
2218|San Miguelito|5|SRID=4326;LINESTRING (-77.071112 -11.942997,-77.068086 -11.942418,-77.067584 -11.94202,-77.067023 -11.941943)|0
2352|Parinacochas|2|SRID=4326;LINESTRING (-77.018283 -12.059055,-77.018474 -12.057665)|0
2359|Aviacion|1|SRID=4326;LINESTRING (-77.013663 -12.059249,-77.014205 -12.058082)|0
2360|Garcia Naranjo|5|SRID=4326;LINESTRING (-77.013663 -12.059249,-77.013043 -12.059032,-77.012973 -12.05887,-77.012356 -12.058117,-77.011471 -12.057768,-77.011264 -12.057649)|0
14361|Miguel Grau|5|SRID=4326;LINESTRING (-77.016399 -12.057388,-77.014808 -12.056703,-77.014793 -12.056635)|0
2369|Nicolas Ayllon|1|SRID=4326;LINESTRING (-77.010537 -12.057205,-77.007836 -12.059441)|0
2370|Jose De La Riva Aguero|2|SRID=4326;LINESTRING (-77.003693 -12.052834,-77.003837 -12.053506,-77.003991 -12.054294,-77.004355 -12.055194,-77.005333 -12.056376,-77.006946 -12.058342)|0
2373|Los Lirios|5|SRID=4326;LINESTRING (-76.994672 -12.058794,-76.99433 -12.058448)|0
2375|Los Robles|5|SRID=4326;LINESTRING (-76.975578 -12.053993,-76.975121 -12.055083,-76.974672 -12.056311,-76.974587 -12.056546,-76.974592 -12.056766,-76.974645 -12.057086,-76.974769 -12.057447,-76.974817 -12.057651)|0
2380|Rampa|5|SRID=4326;LINESTRING (-76.973766 -12.058564,-76.974087 -12.058583,-76.97436 -12.058564,-76.974496 -12.058509,-76.974587 -12.058453,-76.974659 -12.058375,-76.974716 -12.058249,-76.974723 -12.058068,-76.974689 -12.057913,-76.974614 -12.05779,-76.974447 -12.057665,-76.974258 -12.057631,-76.974103 -12.057668,-76.973978 -12.057739,-76.973834 -12.057872,-76.97361 -12.058127)|0
2382|Nicolas Ayllon|4|SRID=4326;LINESTRING (-76.972773 -12.058137,-76.973121 -12.058296)|0
2383|Via De Evitamiento|4|SRID=4326;LINESTRING (-76.97361 -12.058127,-76.973345 -12.058514)|0
2385|Los Frutales|2|SRID=4326;LINESTRING (-76.968154 -12.056334,-76.96662 -12.060215)|0
2393|La Molina|1|SRID=4326;LINESTRING (-76.964608 -12.05474,-76.962718 -12.05881)|0
2410|Huamanga (Prol)|5|SRID=4326;LINESTRING (-77.020775 -12.060716,-77.021126 -12.058043)|0
2414|Lucanas (Prol)|5|SRID=4326;LINESTRING (-77.019407 -12.057769,-77.019239 -12.059167)|0
2418|Huanuco|2|SRID=4326;LINESTRING (-77.016625 -12.058863,-77.017426 -12.057525)|0
2425|Via Expresa Grau|3|SRID=4326;LINESTRING (-77.025513 -12.058552,-77.02665 -12.058694,-77.026661 -12.058718,-77.02675 -12.058728,-77.026763 -12.058709)|0
14407|Miguel Grau|1|SRID=4326;LINESTRING (-77.025449 -12.058597,-77.024334 -12.058453,-77.024306 -12.058392)|0
2431|Julio Mendoza Merino|5|SRID=4326;LINESTRING (-77.023872 -12.058395,-77.02375 -12.060123)|0
2432|Acceso Nicolas Ayllon|5|SRID=4326;LINESTRING (-76.974929 -12.055104,-76.974908 -12.055329,-76.974812 -12.055623,-76.97463 -12.05612,-76.974549 -12.056361,-76.974497 -12.056603,-76.974475 -12.056748,-76.974479 -12.056867,-76.97452 -12.0571,-76.974814 -12.057869)|0
2437|La Mar (Prol)|5|SRID=4326;LINESTRING (-77.020374 -12.057947,-77.020047 -12.060619)|0
2441|Nicolas Ayllon|4|SRID=4326;LINESTRING (-76.97354 -12.058658,-76.973392 -12.058598)|0
2444|Huarochiri|1|SRID=4326;LINESTRING (-76.944349 -12.05689,-76.942332 -12.060678)|0
2445|Separadora Industrial|1|SRID=4326;LINESTRING (-76.944349 -12.05689,-76.951675 -12.060537)|0
2451|Los Rosales|5|SRID=4326;LINESTRING (-76.993506 -12.058512,-76.993607 -12.059601)|0
2452|Los Parques|5|SRID=4326;LINESTRING (-76.993506 -12.058512,-76.991238 -12.058684)|0
2456|Via De Evitamiento|4|SRID=4326;LINESTRING (-76.971342 -12.066866,-76.971136 -12.065413,-76.971136 -12.064091,-76.97126 -12.063073)|0
2463||5|SRID=4326;LINESTRING (-76.997856 -12.061247,-76.994773 -12.057804)|0
14382|Huamanga (Prol)|5|SRID=4326;LINESTRING (-77.020615 -12.062091,-77.020377 -12.063455)|0
2712|Puente Zavala Loayza|5|SRID=4326;LINESTRING (-77.031504 -12.059292,-77.031514 -12.059195)|0
2720|Abancay|2|SRID=4326;LINESTRING (-77.029917 -12.05909,-77.029983 -12.057835)|0
2749|Miguel Grau|1|SRID=4326;LINESTRING (-77.026709 -12.058689,-77.026653 -12.05875,-77.025449 -12.058597)|0
2751|Andahuaylas|5|SRID=4326;LINESTRING (-77.026709 -12.058689,-77.026715 -12.057434)|0
4386|Antonio Raymondi|5|SRID=4326;LINESTRING (-77.014205 -12.058082,-77.01593 -12.058729)|0
4390|Junin|5|SRID=4326;LINESTRING (-77.008477 -12.05777,-77.007301 -12.058775)|0
4410|Oscar R. Benavides|1|SRID=4326;LINESTRING (-77.064885 -12.048644,-77.067292 -12.048896)|0
4416|Argentina|1|SRID=4326;LINESTRING (-77.065223 -12.045497,-77.069707 -12.045911)|0
4424|Alfonso Ugarte (Aux)|1|SRID=4326;LINESTRING (-77.041947 -12.056254,-77.042002 -12.056335,-77.041847 -12.058112)|0
4428|Alfonso Ugarte (Aux)|1|SRID=4326;LINESTRING (-77.041631 -12.05965,-77.041553 -12.059554,-77.041696 -12.058102)|0
4430|Arica|1|SRID=4326;LINESTRING (-77.045834 -12.05895,-77.047088 -12.058551)|0
4431|General Varela|5|SRID=4326;LINESTRING (-77.045834 -12.05895,-77.045845 -12.058416)|0
4433|Jorge Chavez|5|SRID=4326;LINESTRING (-77.047088 -12.058551,-77.050642 -12.062721)|0
