persona,ruta
Ale,CR02
Ale,CR04
Ale,CR05
Ale,CR07
Ale,CR09
Fiorella,CR10
Fiorella,CR12
Ale,CR13
Fiorella,CR14
Ale,CR16
Ale,CR19
Ale,CR20
Ale,CR23
Ale,CR24
Ale,CR25
Ale,CR27
Ale,CR28
Ale,CR30
Ale,CR31
Ale,CR32
Ale,CR34
Ale,CR35
Ale,CR37
Ale,CR38
Ale,CR39
Ale,CR40
Ale,CR41
Ale,CR42
Ale,CR44
Ale,CR45
Ale,CR46
Ale,CR47
Ale,CR48
Ale,CR49
Ale,CR51
Ale,CR52
Ale,CR53
Ale,CR54
Ale,CR56
Ale,CR57
Ale,CR58
Ale,CR61
Ale,CR62
Ale,CR65
Ale,CR66
Ale,CR69
Ale,CR71
Ale,CR75
Ale,CR78
Ale,CR84
Ale,ECR02
Ale,ECR03
Ale,ECR05
Ale,ECR09
Ale,ECR10
Ale,ECR13
Ale,ECR14
Ale,ECR15
Ale,ECR17
Ale,ECR18
Ale,ECR20
Ale,ECR21
Ale,ECR22
Ale,ECR23
Ale,ECR24
Ale,ECR26
Ale,ECR28
Ale,ECR31
Ale,ECR32
Ale,ECR33A
Ale,ECR34
Ale,ECR35
Ale,EM01
Ale,EM02
Ale,EM05
Ale,EM11
Ale,EM13
Ale,EM15
Ale,EM16
Ale,EM17
Ale,EM21
Ale,EM23
Ale,EM29
Ale,EM30
Ale,EM32
Ale,EM34
Ale,EM35
Ale,EM36
Ale,EM37
Ale,EM40
Ale,EM41A
Ale,EM41
Ale,EM42
Ale,EM43
Ale,EM45B
Ale,EM45C
Ale,EM45
Ale,EM46
Ale,EM47A
Ale,EM47
Ale,EM48A
Ale,EM48B
Ale,EM48
Ale,EM49
Ale,EM53
Ale,EM54
Ale,EM55A
Ale,EM55
Ale,EM58A
Ale,EM58B
Ale,EM58
Ale,EM59
Ale,EM62A
Ale,EM62B
Ale,EM64
Ale,EM65
Ale,EM67
Ale,EM71
Ale,EM72
Ale,EM73
Ale,EM74
Ale,EM75
Ale,EM76
Ale,EO01
Ale,EO05
Ale,EO07
Ale,EO100
Ale,EO101
Ale,EO104
Ale,EO105A
Ale,EO105
Ale,EO109
Ale,EO110A
Ale,EO110
Ale,EO113
Ale,EO119
Ale,EO120
Ale,EO121
Ale,EO122
Ale,EO123
Ale,EO126
Ale,EO17
Ale,EO18
Ale,EO20
Ale,EO21
Ale,EO24
Ale,EO25
Ale,EO26
Ale,EO29
Ale,EO31
Ale,EO35
Ale,EO39
Ale,EO47
Ale,EO48
Ale,EO49
Ale,EO50
Ale,EO54
Ale,EO55
Ale,EO56
Ale,EO64
Ale,EO65A
Ale,EO65B
Ale,EO69
Ale,EO71
Ale,EO79
Ale,EO96A
Ale,EO96B
Ale,EO96C
Ale,ICR01
Ale,ICR02B
