usuario,ruta,nombre_ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4185910,X-CR02_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4185996,X-CR04-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186018,X-CR05-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186088,X-CR07-I,21,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186325,X-CR09-I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4193499,X-CR13-I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4203897,X-CR16-I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204154,X-CR19-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204283,X-CR20-I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204339,X-CR23-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4207525,X-CR30-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4207599,X-CR31-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4210264,X-CR32-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4210468,X-CR34-I,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4211259,X-CR37-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213726,X-CR38-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213753,X-CR39-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213873,X-CR40-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4214218,X-CR41-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4214222,X-CR42-I,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4217348,X-CR44-I,13,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218929,X-CR45-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218937,X-CR46-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218948,X-CR47-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218959,X-CR48-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218962,X-CR49-I,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220163,X-CR51-I,11,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220287,X-CR52-I,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220334,X-CR53-I,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220382,X-CR54-I,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220430,X-CR56-I,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222134,X-CR57-I,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222786,X-CR58-I,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222791,X-CR61-I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223687,X-CR65-I,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223798,X-CR69-I,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223946,X-CR24-I,14,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224043,X-CR25-I,19,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224064,X-CR71-I,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224140,X-CR27-I,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224171,X-CR28-I,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224333,X-CR75-I,15,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224344,X-CR78-I,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224366,X-CR84-I,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224369,X-ECR02-I,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224379,X-ECR03-I,8,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224382,X-ECR05-I,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224390,X-ECR09-I,11,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224398,X-ECR10-I,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224422,X-ECR14-I,4,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224455,X-ECR15-I,8,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4226864,X-ECR18-I,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227134,X-ECR21-I,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227168,X-ECR22-I,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
