modifico,perteneciente,ruta,id,url
FIO,ALE,X-CR02_I,4185910,http://www.openstreetmap.org/relation/4185910
FIO,ALE,X-CR04-I,4185996,http://www.openstreetmap.org/relation/4185996
FIO,ALE,X-CR05-I,4186018,http://www.openstreetmap.org/relation/4186018
FIO,ALE,X-CR07-I,4186088,http://www.openstreetmap.org/relation/4186088
FIO,ALE,X-CR09-I,4186325,http://www.openstreetmap.org/relation/4186325
FIO,ALE,X-CR16-I,4203897,http://www.openstreetmap.org/relation/4203897
FIO,ALE,X-CR23-I,4204339,http://www.openstreetmap.org/relation/4204339
FIO,ALE,X-CR30-I,4207525,http://www.openstreetmap.org/relation/4207525
FIO,ALE,X-CR34-I,4210468,http://www.openstreetmap.org/relation/4210468
FIO,ALE,X-CR38-I,4213726,http://www.openstreetmap.org/relation/4213726
FIO,ALE,X-CR39-I,4213753,http://www.openstreetmap.org/relation/4213753
FIO,ALE,X-CR41-I,4214218,http://www.openstreetmap.org/relation/4214218
FIO,ALE,X-CR42-I,4214222,http://www.openstreetmap.org/relation/4214222
FIO,ALE,X-CR44-I,4217348,http://www.openstreetmap.org/relation/4217348
FIO,ALE,X-CR45-I,4218929,http://www.openstreetmap.org/relation/4218929
FIO,ALE,X-CR46-I,4218937,http://www.openstreetmap.org/relation/4218937
FIO,ALE,X-CR47-I,4218948,http://www.openstreetmap.org/relation/4218948
FIO,ALE,X-CR48-I,4218959,http://www.openstreetmap.org/relation/4218959
FIO,ALE,X-CR49-I,4218962,http://www.openstreetmap.org/relation/4218962
FIO,ALE,X-CR51-I,4220163,http://www.openstreetmap.org/relation/4220163
FIO,ALE,X-CR52-I,4220287,http://www.openstreetmap.org/relation/4220287
FIO,ALE,X-CR53-I,4220334,http://www.openstreetmap.org/relation/4220334
FIO,ALE,X-CR54-I,4220382,http://www.openstreetmap.org/relation/4220382
FIO,ALE,X-CR56-I,4220430,http://www.openstreetmap.org/relation/4220430
FIO,ALE,X-CR57-I,4222134,http://www.openstreetmap.org/relation/4222134
FIO,ALE,X-CR58-I,4222786,http://www.openstreetmap.org/relation/4222786
FIO,ALE,X-CR61-I,4222791,http://www.openstreetmap.org/relation/4222791
FIO,ALE,X-CR65-I,4223687,http://www.openstreetmap.org/relation/4223687
FIO,ALE,X-CR69-I,4223798,http://www.openstreetmap.org/relation/4223798
FIO,ALE,X-CR24-I,4223946,http://www.openstreetmap.org/relation/4223946
FIO,ALE,X-CR25-I,4224043,http://www.openstreetmap.org/relation/4224043
FIO,ALE,X-CR71-I,4224064,http://www.openstreetmap.org/relation/4224064
FIO,ALE,X-CR27-I,4224140,http://www.openstreetmap.org/relation/4224140
FIO,ALE,X-CR28-I,4224171,http://www.openstreetmap.org/relation/4224171
FIO,ALE,X-CR78-I,4224344,http://www.openstreetmap.org/relation/4224344
FIO,ALE,X-CR84-I,4224366,http://www.openstreetmap.org/relation/4224366
FIO,ALE,X-ECR02-I,4224369,http://www.openstreetmap.org/relation/4224369
FIO,ALE,X-ECR03-I,4224379,http://www.openstreetmap.org/relation/4224379
FIO,ALE,X-ECR05-I,4224382,http://www.openstreetmap.org/relation/4224382
FIO,ALE,X-ECR09-I,4224390,http://www.openstreetmap.org/relation/4224390
FIO,ALE,X-ECR10-I,4224398,http://www.openstreetmap.org/relation/4224398
FIO,ALE,X-ECR14-I,4224422,http://www.openstreetmap.org/relation/4224422
FIO,ALE,X-ECR15-I,4224455,http://www.openstreetmap.org/relation/4224455
FIO,ALE,X-ECR17-I,4226842,http://www.openstreetmap.org/relation/4226842
FIO,ALE,X-ECR18-I,4226864,http://www.openstreetmap.org/relation/4226864
FIO,ALE,X-ECR21-I,4227134,http://www.openstreetmap.org/relation/4227134
FIO,ALE,X-ECR23-I,4227218,http://www.openstreetmap.org/relation/4227218
FIO,ALE,X-ECR24-I,4227246,http://www.openstreetmap.org/relation/4227246
FIO,ALE,X-ECR28-I,4227378,http://www.openstreetmap.org/relation/4227378
FIO,ALE,X.ECR31-I,4227437,http://www.openstreetmap.org/relation/4227437
FIO,ALE,X-ECR32-I,4227460,http://www.openstreetmap.org/relation/4227460
FIO,ALE,X-ECR33A-I,4227527,http://www.openstreetmap.org/relation/4227527
FIO,ALE,X-ECR34-I,4227549,http://www.openstreetmap.org/relation/4227549
FIO,ALE,X-ECR35-I,4227584,http://www.openstreetmap.org/relation/4227584
FIO,ALE,X-EM01-I,4230140,http://www.openstreetmap.org/relation/4230140
FIO,ALE,X-EM15-I,4230845,http://www.openstreetmap.org/relation/4230845
FIO,ALE,X-EM16-I,4238954,http://www.openstreetmap.org/relation/4238954
FIO,ALE,X-EM21-I,4240062,http://www.openstreetmap.org/relation/4240062
FIO,ALE,X-EM29-I,4240224,http://www.openstreetmap.org/relation/4240224
FIO,ALE,X-EM34-I,4242615,http://www.openstreetmap.org/relation/4242615
FIO,ALE,X-EM35-I,4244341,http://www.openstreetmap.org/relation/4244341
FIO,ALE,X-EM36-I,4245781,http://www.openstreetmap.org/relation/4245781
FIO,ALE,X-EM37-I,4245804,http://www.openstreetmap.org/relation/4245804
FIO,ALE,X-EM41-I,4245915,http://www.openstreetmap.org/relation/4245915
FIO,ALE,X-EM41A-I,4245920,http://www.openstreetmap.org/relation/4245920
FIO,ALE,X-EM46-I,4252790,http://www.openstreetmap.org/relation/4252790
FIO,ALE,X-EM47-I,4261592,http://www.openstreetmap.org/relation/4261592
FIO,ALE,X-EM47A-I,4261607,http://www.openstreetmap.org/relation/4261607
FIO,ALE,X-EM48-I,4261629,http://www.openstreetmap.org/relation/4261629
