usuario,id_ruta,tipo_error,link
GRPIAA3,4185910,1,www.openstreetmap.org/relation/4185910#map=19/-12.0517156/-77.1388928
GRPIAA3,4185910,1,www.openstreetmap.org/relation/4185910#map=19/-12.1030497/-76.9625928
GRPIAA3,4185996,3,www.openstreetmap.org/relation/4185996#map=19/-12.0467144/-77.0430685
GRPIAA3,4185996,3,www.openstreetmap.org/relation/4185996#map=19/-12.059053/-77.127661
GRPIAA3,4185996,1,www.openstreetmap.org/relation/4185996#map=19/-12.0466949/-77.042435
GRPIAA3,4185996,1,www.openstreetmap.org/relation/4185996#map=19/-12.0725404/-77.1648045
GRPIAA3,4185996,3,www.openstreetmap.org/relation/4185996#map=19/-12.0466122/-77.0431494
GRPIAA3,4185996,3,www.openstreetmap.org/relation/4185996#map=19/-12.0590959/-77.1280533
GRPIAA3,4186018,6,www.openstreetmap.org/relation/4186018#map=19/-12.0606731/-77.0418616
GRPIAA3,4186018,3,www.openstreetmap.org/relation/4186018#map=19/-12.0607103/-77.0417995
GRPIAA3,4186018,3,www.openstreetmap.org/relation/4186018#map=19/-12.0557637/-77.0575334
GRPIAA3,4186018,3,www.openstreetmap.org/relation/4186018#map=19/-12.0606399/-77.0419165
GRPIAA3,4186018,3,www.openstreetmap.org/relation/4186018#map=19/-12.0557977/-77.0577726
GRPIAA3,4186018,1,www.openstreetmap.org/relation/4186018#map=19/-12.0433155/-77.1359404
GRPIAA3,4186018,1,www.openstreetmap.org/relation/4186018#map=19/-12.0645081/-77.0363137
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0361463/-77.0438248
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-11.9907338/-77.1072549
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0673015/-77.1299128
GRPIAA3,4186088,5,www.openstreetmap.org/relation/4186088#map=19/-12.0455486/-77.1073917
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0456782/-77.1071837
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0446497/-77.1094966
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0561534/-77.1424766
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.058602/-77.1283532
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0524472/-77.1397828
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0527142/-77.125288
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0585362/-77.1214612
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0557742/-77.1218714
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0675127/-77.1309561
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0715581/-77.1050049
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0716739/-77.105543
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0581977/-77.1216799
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0452355/-77.0986182
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0526129/-77.125184
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0680187/-77.1329747
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0725639/-77.1233575
GRPIAA3,4186088,4,www.openstreetmap.org/relation/4186088#map=19/-12.0456947/-77.1085016
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0609775/-77.1430658
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0620656/-77.1428997
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0762662/-77.113249
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0763351/-77.1130517
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.045397/-77.1096963
GRPIAA3,4186088,4,www.openstreetmap.org/relation/4186088#map=19/-12.0458453/-77.1096191
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0455006/-77.1071768
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0443411/-77.109413
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.031407/-77.0442039
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0452377/-77.0987478
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0448986/-77.0586811
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0448426/-77.0586837
GRPIAA3,4186088,1,www.openstreetmap.org/relation/4186088#map=19/-12.0554721/-77.1221203
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.0584708/-77.1285844
GRPIAA3,4186088,3,www.openstreetmap.org/relation/4186088#map=19/-12.072605/-77.1232458
GRPIAA3,4186325,1,www.openstreetmap.org/relation/4186325#map=19/-12.0459528/-77.0425923
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0493223/-77.109248
GRPIAA3,4186325,1,www.openstreetmap.org/relation/4186325#map=19/-12.0404377/-77.1257129
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0467144/-77.0430685
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0494128/-77.1092344
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0418955/-77.126778
GRPIAA3,4186325,1,www.openstreetmap.org/relation/4186325#map=19/-12.0226081/-77.1380114
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0446497/-77.1094966
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0420406/-77.1266435
GRPIAA3,4186325,4,www.openstreetmap.org/relation/4186325#map=19/-12.0446769/-77.0561824
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0466122/-77.0431494
GRPIAA3,4186325,1,www.openstreetmap.org/relation/4186325#map=19/-12.0455486/-77.1073917
GRPIAA3,4186325,4,www.openstreetmap.org/relation/4186325#map=19/-12.042049/-77.1267632
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.045397/-77.1096963
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0458453/-77.1096191
