asignado_a,nombre_ruta,id,url
Ale,X-CR02_I,4185910,http://www.openstreetmap.org/relation/4185910
Ale,X-CR04-I,4185996,http://www.openstreetmap.org/relation/4185996
Ale,X-CR05-I,4186018,http://www.openstreetmap.org/relation/4186018
Ale,X-CR07-I,4186088,http://www.openstreetmap.org/relation/4186088
Ale,X-CR09-I,4186325,http://www.openstreetmap.org/relation/4186325
Ale,X-CR13-I,4193499,http://www.openstreetmap.org/relation/4193499
Ale,X-CR16-I,4203897,http://www.openstreetmap.org/relation/4203897
Ale,X-CR19-I,4204154,http://www.openstreetmap.org/relation/4204154
Ale,X-CR20-I,4204283,http://www.openstreetmap.org/relation/4204283
Ale,X-CR23-I,4204339,http://www.openstreetmap.org/relation/4204339
Ale,X-CR30-I,4207525,http://www.openstreetmap.org/relation/4207525
Ale,X-CR31-I,4207599,http://www.openstreetmap.org/relation/4207599
Ale,X-CR32-I,4210264,http://www.openstreetmap.org/relation/4210264
Ale,X-CR34-I,4210468,http://www.openstreetmap.org/relation/4210468
Ale,X-CR37-I,4211259,http://www.openstreetmap.org/relation/4211259
Ale,X-CR38-I,4213726,http://www.openstreetmap.org/relation/4213726
Ale,X-CR39-I,4213753,http://www.openstreetmap.org/relation/4213753
Ale,X-CR40-I,4213873,http://www.openstreetmap.org/relation/4213873
Ale,X-CR41-I,4214218,http://www.openstreetmap.org/relation/4214218
Ale,X-CR42-I,4214222,http://www.openstreetmap.org/relation/4214222
Ale,X-CR44-I,4217348,http://www.openstreetmap.org/relation/4217348
Ale,X-CR45-I,4218929,http://www.openstreetmap.org/relation/4218929
Ale,X-CR46-I,4218937,http://www.openstreetmap.org/relation/4218937
Ale,X-CR47-I,4218948,http://www.openstreetmap.org/relation/4218948
Ale,X-CR48-I,4218959,http://www.openstreetmap.org/relation/4218959
Ale,X-CR49-I,4218962,http://www.openstreetmap.org/relation/4218962
Ale,X-CR51-I,4220163,http://www.openstreetmap.org/relation/4220163
Ale,X-CR52-I,4220287,http://www.openstreetmap.org/relation/4220287
Ale,X-CR53-I,4220334,http://www.openstreetmap.org/relation/4220334
Ale,X-CR54-I,4220382,http://www.openstreetmap.org/relation/4220382
Ale,X-CR56-I,4220430,http://www.openstreetmap.org/relation/4220430
Ale,X-CR57-I,4222134,http://www.openstreetmap.org/relation/4222134
Ale,X-CR58-I,4222786,http://www.openstreetmap.org/relation/4222786
Ale,X-CR61-I,4222791,http://www.openstreetmap.org/relation/4222791
Ale,X-CR65-I,4223687,http://www.openstreetmap.org/relation/4223687
Ale,X-CR69-I,4223798,http://www.openstreetmap.org/relation/4223798
Ale,X-CR24-I,4223946,http://www.openstreetmap.org/relation/4223946
Ale,X-CR25-I,4224043,http://www.openstreetmap.org/relation/4224043
Ale,X-CR71-I,4224064,http://www.openstreetmap.org/relation/4224064
Ale,X-CR27-I,4224140,http://www.openstreetmap.org/relation/4224140
Ale,X-CR28-I,4224171,http://www.openstreetmap.org/relation/4224171
Ale,X-CR75-I,4224333,http://www.openstreetmap.org/relation/4224333
Ale,X-CR78-I,4224344,http://www.openstreetmap.org/relation/4224344
Ale,X-CR84-I,4224366,http://www.openstreetmap.org/relation/4224366
Ale,X-ECR02-I,4224369,http://www.openstreetmap.org/relation/4224369
Ale,X-ECR03-I,4224379,http://www.openstreetmap.org/relation/4224379
Ale,X-ECR05-I,4224382,http://www.openstreetmap.org/relation/4224382
Ale,X-ECR09-I,4224390,http://www.openstreetmap.org/relation/4224390
Ale,X-ECR10-I,4224398,http://www.openstreetmap.org/relation/4224398
Ale,X-ECR13-I,4224413,http://www.openstreetmap.org/relation/4224413
Ale,X-ECR14-I,4224422,http://www.openstreetmap.org/relation/4224422
Ale,X-ECR15-I,4224455,http://www.openstreetmap.org/relation/4224455
Ale,X-ECR17-I,4226842,http://www.openstreetmap.org/relation/4226842
Ale,X-ECR18-I,4226864,http://www.openstreetmap.org/relation/4226864
Ale,X-ECR21-I,4227134,http://www.openstreetmap.org/relation/4227134
Ale,X-ECR22-I,4227168,http://www.openstreetmap.org/relation/4227168
Ale,X-ECR23-I,4227218,http://www.openstreetmap.org/relation/4227218
Ale,X-ECR24-I,4227246,http://www.openstreetmap.org/relation/4227246
Ale,X-ECR26-I,4227339,http://www.openstreetmap.org/relation/4227339
Ale,X-ECR28-I,4227378,http://www.openstreetmap.org/relation/4227378
Ale,X.ECR31-I,4227437,http://www.openstreetmap.org/relation/4227437
Ale,X-ECR32-I,4227460,http://www.openstreetmap.org/relation/4227460
Ale,X-ECR33A-I,4227527,http://www.openstreetmap.org/relation/4227527
Ale,X-ECR34-I,4227549,http://www.openstreetmap.org/relation/4227549
Ale,X-ECR35-I,4227584,http://www.openstreetmap.org/relation/4227584
Ale,X-EM01-I,4230140,http://www.openstreetmap.org/relation/4230140
Ale,X-EM02-I,4230229,http://www.openstreetmap.org/relation/4230229
Ale,X-EM05-I,4230265,http://www.openstreetmap.org/relation/4230265
Ale,X-EM11-I,4230381,http://www.openstreetmap.org/relation/4230381
Ale,X-EM13-I,4230503,http://www.openstreetmap.org/relation/4230503
Ale,X-EM15-I,4230845,http://www.openstreetmap.org/relation/4230845
Ale,X-EM16-I,4238954,http://www.openstreetmap.org/relation/4238954
Ale,X-EM17-I,4239855,http://www.openstreetmap.org/relation/4239855
Ale,X-EM21-I,4240062,http://www.openstreetmap.org/relation/4240062
Ale,X-EM23-I,4240191,http://www.openstreetmap.org/relation/4240191
Ale,X-EM29-I,4240224,http://www.openstreetmap.org/relation/4240224
Ale,X-EM32-I,4240306,http://www.openstreetmap.org/relation/4240306
Ale,X-EM34-I,4242615,http://www.openstreetmap.org/relation/4242615
Ale,X-EM35-I,4244341,http://www.openstreetmap.org/relation/4244341
Ale,X-EM36-I,4245781,http://www.openstreetmap.org/relation/4245781
Ale,X-EM37-I,4245804,http://www.openstreetmap.org/relation/4245804
Ale,X-EM40-I,4245910,http://www.openstreetmap.org/relation/4245910
Ale,X-EM41-I,4245915,http://www.openstreetmap.org/relation/4245915
Ale,X-EM41A-I,4245920,http://www.openstreetmap.org/relation/4245920
Ale,X-EM42-I,4248191,http://www.openstreetmap.org/relation/4248191
Ale,X-EM43-I,4248299,http://www.openstreetmap.org/relation/4248299
Ale,X-EM45-I,4248438,http://www.openstreetmap.org/relation/4248438
Ale,X-EM45B-I,4252696,http://www.openstreetmap.org/relation/4252696
Ale,X-EM45C-I,4252751,http://www.openstreetmap.org/relation/4252751
Ale,X-EM46-I,4252790,http://www.openstreetmap.org/relation/4252790
Ale,X-EM47-I,4261592,http://www.openstreetmap.org/relation/4261592
Ale,X-EM47A-I,4261607,http://www.openstreetmap.org/relation/4261607
Ale,X-EM48-I,4261629,http://www.openstreetmap.org/relation/4261629
Ale,X-EM48A-I,4261655,http://www.openstreetmap.org/relation/4261655
Ale,X-EM48B-I,4267328,http://www.openstreetmap.org/relation/4267328
Ale,X-EM49-I,4269638,http://www.openstreetmap.org/relation/4269638
Ale,X-EM53-I,4269667,http://www.openstreetmap.org/relation/4269667
Ale,X-EM54-I,4270170,http://www.openstreetmap.org/relation/4270170
Ale,X-EM55-I,4270204,http://www.openstreetmap.org/relation/4270204
Ale,X-EM55A-I,4270225,http://www.openstreetmap.org/relation/4270225
Ale,X-EM58-I,4273938,http://www.openstreetmap.org/relation/4273938
Ale,X-EM58A-I,4273943,http://www.openstreetmap.org/relation/4273943
Ale,X-EM58B-I,4273945,http://www.openstreetmap.org/relation/4273945
Ale,X-EM59-I,4273973,http://www.openstreetmap.org/relation/4273973
Ale,X-EM62A-I,4275106,http://www.openstreetmap.org/relation/4275106
Ale,X-EM62B-I,4275199,http://www.openstreetmap.org/relation/4275199
Ale,X-EM64-I,4275251,http://www.openstreetmap.org/relation/4275251
Ale,X-EM65-I,4275312,http://www.openstreetmap.org/relation/4275312
Ale,X-EM67-I,4276570,http://www.openstreetmap.org/relation/4276570
Ale,X-EM71-I,4276585,http://www.openstreetmap.org/relation/4276585
Ale,X-EM72-I,4276630,http://www.openstreetmap.org/relation/4276630
Ale,X-EM73-I,4276653,http://www.openstreetmap.org/relation/4276653
Ale,X-EM74-I,4276660,http://www.openstreetmap.org/relation/4276660
Ale,X-EM75-I,4276666,http://www.openstreetmap.org/relation/4276666
Ale,X-EM76-I,4439267,http://www.openstreetmap.org/relation/4439267
Ale,X-EO05-I,4439613,http://www.openstreetmap.org/relation/4439613
Ale,X-EO07-I,4442976,http://www.openstreetmap.org/relation/4442976
Ale,X-EO17-I,4443104,http://www.openstreetmap.org/relation/4443104
Ale,X-EO18-I,4443141,http://www.openstreetmap.org/relation/4443141
Ale,X-EO20-I,4443210,http://www.openstreetmap.org/relation/4443210
Ale,X-EO21-I,4443293,http://www.openstreetmap.org/relation/4443293
Ale,X-EO24-I,4443365,http://www.openstreetmap.org/relation/4443365
Ale,X-EO25-I,4443463,http://www.openstreetmap.org/relation/4443463
Ale,X-EO26-I,4446025,http://www.openstreetmap.org/relation/4446025
Ale,X-EO29-I,4446214,http://www.openstreetmap.org/relation/4446214
Ale,X-EO31-I,4446296,http://www.openstreetmap.org/relation/4446296
Ale,X-EO35-I,4446364,http://www.openstreetmap.org/relation/4446364
Ale,X-EO39-I,4455258,http://www.openstreetmap.org/relation/4455258
Ale,X-EO47-I,4455342,http://www.openstreetmap.org/relation/4455342
Ale,X-EO48-I,4455406,http://www.openstreetmap.org/relation/4455406
Ale,X-EO49-I,4455529,http://www.openstreetmap.org/relation/4455529
Ale,X-EO50-I,4455849,http://www.openstreetmap.org/relation/4455849
Ale,X-EO54-I,4459515,http://www.openstreetmap.org/relation/4459515
Ale,X-EO55-I,4459572,http://www.openstreetmap.org/relation/4459572
