tipo,ruta
1,4186325
4,4193499
4,4203897
1,4204283
1,4210264
1,4210468
4,4210468
1,4214222
3,4214222
4,4214222
1,4217348
3,4217348
4,4217348
6,4217348
1,4218929
3,4218929
1,4218937
3,4218937
1,4218948
3,4218948
5,4218948
1,4218959
1,4218962
1,4220163
3,4220163
4,4220163
1,4220287
3,4220287
1,4220334
4,4220334
1,4220382
3,4220382
4,4220382
1,4220430
3,4220430
4,4220430
1,4222134
3,4222134
1,4222786
3,4222786
4,4222786
6,4222786
4,4222791
1,4223687
3,4223687
4,4223687
3,4223798
4,4223798
1,4223946
3,4223946
4,4223946
1,4224043
3,4224043
4,4224043
1,4224064
3,4224064
4,4224064
1,4224140
3,4224140
4,4224140
1,4224171
3,4224171
4,4224171
1,4224333
3,4224333
4,4224333
1,4224344
3,4224344
1,4224366
3,4224366
4,4224366
1,4224369
3,4224369
1,4224379
3,4224379
4,4224379
6,4224379
1,4224382
3,4224382
4,4224382
1,4224390
3,4224390
4,4224390
1,4224398
3,4224398
1,4224413
3,4224413
4,4224413
1,4224422
3,4224422
4,4224422
6,4224422
1,4224455
3,4224455
6,4224455
1,4226842
3,4226842
3,4226864
4,4226864
6,4226864
3,4227134
1,4227168
3,4227168
4,4227168
3,4227218
4,4227218
6,4227218
1,4227246
3,4227246
3,4227339
3,4227378
4,4227460
6,4227460
3,4227527
4,4227527
1,4227549
3,4227549
1,4227584
3,4227584
4,4227584
1,4230140
3,4230140
4,4230140
1,4230229
3,4230229
4,4230229
1,4230265
3,4230265
4,4230265
1,4230381
3,4230381
4,4230381
6,4230381
1,4230503
3,4230503
4,4230503
5,4230503
1,4230845
3,4230845
4,4230845
1,4238954
3,4238954
4,4238954
1,4239855
3,4239855
6,4239855
1,4240062
3,4240062
4,4240062
5,4240062
1,4240191
3,4240191
4,4240191
1,4240224
3,4240224
1,4240306
3,4240306
4,4240306
6,4240306
3,4242615
5,4242615
3,4244341
4,4244341
3,4245781
1,4245804
3,4245804
4,4245804
3,4245910
4,4245910
5,4245910
1,4245915
3,4245915
4,4245915
6,4245915
1,4245920
3,4245920
4,4245920
6,4245920
1,4248191
3,4248191
1,4248299
3,4248299
4,4248299
5,4248299
1,4248438
3,4248438
1,4252696
3,4252696
1,4252751
3,4252751
1,4252790
3,4252790
4,4252790
1,4261592
3,4261592
4,4261592
1,4261607
3,4261607
1,4261629
3,4261629
4,4261629
5,4261629
1,4261655
3,4261655
4,4261655
5,4261655
6,4261655
1,4267328
3,4267328
4,4267328
1,4269638
3,4269638
4,4269638
3,4269667
3,4270170
1,4270204
3,4270204
4,4270204
1,4270225
3,4270225
4,4270225
1,4273938
3,4273938
4,4273938
5,4273938
6,4273938
3,4273943
4,4273943
5,4273943
6,4273943
1,4273945
3,4273945
4,4273945
5,4273945
6,4273945
3,4273973
1,4275106
3,4275106
4,4275106
5,4275106
1,4275199
3,4275199
6,4275199
3,4275251
4,4275251
1,4276570
3,4276570
1,4276585
3,4276585
4,4276585
1,4276630
3,4276630
4,4276630
6,4276630
1,4276653
3,4276653
4,4276653
1,4276660
3,4276660
1,4276666
3,4276666
4,4276666
6,4276666
1,4439267
3,4439267
4,4439267
1,4439613
3,4439613
1,4442976
3,4442976
4,4442976
1,4443104
3,4443104
4,4443104
1,4443141
3,4443141
4,4443141
1,4443210
3,4443210
1,4443293
3,4443293
4,4443293
1,4443365
3,4443365
4,4443365
1,4443463
3,4443463
4,4443463
1,4446025
3,4446025
1,4446214
3,4446214
4,4446214
6,4446214
1,4446296
3,4446296
4,4446296
6,4446296
1,4446364
3,4446364
1,4455258
3,4455258
4,4455258
1,4455342
3,4455342
1,4455406
3,4455406
4,4455406
1,4455529
3,4455529
4,4455529
1,4455849
3,4455849
4,4455849
1,4459515
3,4459515
4,4459515
1,4459572
3,4459572
1,4459732
3,4459732
4,4459732
6,4459732
1,4459740
3,4459740
4,4459740
1,4459792
3,4459792
4,4459792
1,4459804
3,4459804
1,4459832
3,4459832
4,4459832
6,4459832
1,4460622
3,4460622
1,4460697
3,4460697
4,4460697
6,4460697
1,4460728
3,4460728
1,4460768
3,4460768
1,4462180
3,4462180
1,4462202
3,4462202
4,4462202
1,4462258
3,4462258
1,4462264
3,4462264
4,4462264
1,4462275
3,4462275
4,4462275
5,4462275
1,4462293
3,4462293
4,4462293
5,4462293
3,4462305
5,4462305
6,4462305
1,4462358
4,4462358
6,4462358
1,4462372
4,4462372
6,4462372
1,4464531
3,4464531
4,4464531
1,4464649
3,4464649
4,4464649
1,4464670
3,4464670
4,4464670
1,4464686
3,4464686
4,4464686
1,4464855
3,4464855
4,4464855
3,4464913
1,4467102
1,4467149
3,4467149
