idruta|idminizona
4185996|13
4185996|14
4185996|28
4185996|29
4185996|55
4185996|58
4185996|59
4185996|167
4185996|486
4185996|581
4185996|584
4185996|586
4185996|597
4185996|600
4185996|609
4185996|613
4185996|616
4186018|14
4186018|28
4186018|29
4186018|32
4186018|49
4186018|55
4186018|56
4186018|58
4186018|59
4186018|85
4186018|131
4186018|133
4186018|134
4186018|182
4186018|480
4186018|591
4186018|595
4186018|597
4186018|602
4186018|609
4186018|611
4186018|613
4186018|617
4204154|8
4204154|9
4204154|23
4204154|24
4204154|39
4204154|54
4204154|55
4204154|56
4204154|62
4204154|67
4204154|68
4204154|94
4204154|95
4204154|98
4204154|170
4204154|172
4204154|174
4204154|175
4204154|177
4204154|178
4204154|179
4204154|183
4204154|264
4204154|265
4204154|269
4204154|273
4204154|281
4204154|282
4204154|303
4204154|304
4204154|314
4204154|315
4204154|321
4204154|328
4204154|477
4204154|525
4204154|606
4204339|62
4204339|67
4204339|92
4204339|94
4204339|95
4204339|97
4204339|98
4204339|99
4204339|137
4204339|163
4204339|174
4204339|175
4204339|177
4204339|178
4204339|179
4204339|183
4204339|428
4204339|486
4204339|586
4207525|14
4207525|28
4207525|29
4207525|32
4207525|49
4207525|55
4207525|56
4207525|58
4207525|59
4207525|85
4207525|182
4207525|486
4207525|587
4207525|595
4207525|597
4207525|602
4207525|609
4207525|611
4207525|613
4207525|617
4207599|8
4207599|9
4207599|10
4207599|11
4207599|14
4207599|24
4207599|28
4207599|29
4207599|31
4207599|32
4207599|168
4207599|169
4207599|182
4207599|248
4207599|273
4207599|274
4207599|276
4207599|277
4207599|282
4207599|283
4207599|301
4207599|313
4207599|316
4207599|318
4207599|340
4207599|342
4207599|344
4207599|468
4207599|473
4207599|474
4207599|609
4210264|8
4210264|9
4210264|23
4210264|24
4210264|26
4210264|35
4210264|39
4210264|54
4210264|55
4210264|56
4210264|62
4210264|67
4210264|68
4210264|94
4210264|95
4210264|98
4210264|131
4210264|133
4210264|134
4210264|170
4210264|174
4210264|175
4210264|177
4210264|178
4210264|179
4210264|183
4210264|317
4210264|324
4210264|326
4210264|486
4210264|587
4210264|591
4210264|606
4211259|8
4211259|11
4211259|23
4211259|24
4211259|25
4211259|29
4211259|31
4211259|32
4211259|51
4211259|54
4211259|61
4211259|94
4211259|115
4211259|116
4211259|118
4211259|122
4211259|127
4211259|131
4211259|134
4211259|168
4211259|169
4211259|373
4211259|412
4211259|482
4211259|528
4211259|553
4211259|561
4211259|576
4211259|577
4211259|591
4211259|606
4211259|608
4211259|609
4213726|8
4213726|9
4213726|10
4213726|11
4213726|14
4213726|24
4213726|28
4213726|29
4213726|31
4213726|32
4213726|168
4213726|169
4213726|182
4213726|248
4213726|273
4213726|274
4213726|276
4213726|277
4213726|282
4213726|283
4213726|301
4213726|313
4213726|316
4213726|318
4213726|340
4213726|342
4213726|344
4213726|468
4213726|473
4213726|474
4213726|609
4213753|8
4213753|9
4213753|10
4213753|11
4213753|14
4213753|24
4213753|28
4213753|29
4213753|31
4213753|32
4213753|159
4213753|168
4213753|169
4213753|182
4213753|248
4213753|273
4213753|274
4213753|276
4213753|277
4213753|282
4213753|283
4213753|301
4213753|313
4213753|316
4213753|318
4213753|340
4213753|342
4213753|344
4213753|468
4213753|473
4213753|474
4213753|609
4213873|28
4213873|61
4213873|91
4213873|163
4213873|182
4213873|581
4213873|584
4213873|586
4213873|606
4213873|608
4213873|609
4214218|35
4214218|39
4214218|40
4214218|62
4214218|67
4214218|68
4214218|91
4214218|94
4214218|95
4214218|98
4214218|174
4214218|175
4214218|177
4214218|178
4214218|179
4214218|183
4214218|581
4214218|584
4214218|586
4214218|606
4218929|13
4218929|14
4218929|28
4218929|29
4218929|55
4218929|58
4218929|59
4218929|163
4218929|167
4218929|486
4218929|581
4218929|584
4218929|586
4218929|597
4218929|600
4218929|609
4218929|613
4218929|616
4218937|13
4218937|14
4218937|28
4218937|29
4218937|55
4218937|58
4218937|59
4218937|163
4218937|167
4218937|486
4218937|581
4218937|584
4218937|586
4218937|597
4218937|600
4218937|609
4218937|613
4218937|616
4227437|18
4227437|19
4227437|20
4227437|119
4227437|352
4227437|353
4227437|364
4227437|369
4227437|406
4227437|417
4275312|20
4275312|364
4275312|369
4275312|406
4464806|4
4464806|6
4464806|18
4464806|19
4464806|47
4464806|48
4464806|55
4464806|56
4464806|85
4464806|351
4464806|352
4464806|353
4464806|374
4464806|440
4464806|486
4464806|528
4464806|537
4464806|542
4464806|546
4464806|553
4464806|555
4464806|561
4464806|563
4464806|568
4464806|569
4464806|571
4464806|573
4464806|576
4464806|587
4464806|595
4464806|597
4464806|600
4464806|602
4464806|613
4464806|616
4464806|617
4466970|28
4466970|61
4466970|91
4466970|163
4466970|182
4466970|581
4466970|584
4466970|586
4466970|606
4466970|608
4466970|609
4467006|28
4467006|29
4467006|61
4467006|91
4467006|163
4467006|182
4467006|581
4467006|584
4467006|586
4467006|606
4467006|608
4467006|609
4467064|28
4467064|29
4467064|59
4467064|61
4467064|91
4467064|163
4467064|182
4467064|581
4467064|584
4467064|586
4467064|606
4467064|608
4467064|609
4471136|35
4471136|38
4471136|39
4471136|62
4471136|67
4471136|68
4471136|91
4471136|92
4471136|94
4471136|95
4471136|98
4471136|174
4471136|175
4471136|176
4471136|177
4471136|178
4471136|179
4471136|183
4471136|581
4471136|584
4471136|586
4471136|606
4476537|25
4476537|27
4476537|51
4476537|53
4476537|55
4476537|56
4476537|62
4476537|66
4476537|86
4476537|91
4476537|92
4476537|94
4476537|95
4476537|98
4476537|100
4476537|101
4476537|105
4476537|108
4476537|109
4476537|111
4476537|113
4476537|119
4476537|176
4476537|177
4476537|183
4476537|184
4476537|363
4476537|377
4476537|378
4476537|384
4476537|385
4476537|392
4476537|393
4476537|404
4476537|416
4476537|417
4476537|436
4476537|486
4476537|491
4476537|528
4476537|571
4476537|587
4476537|591
4476537|604
4476537|606
4476537|616
4476537|617
4479736|18
4479736|19
4479736|23
4479736|25
4479736|26
4479736|27
4479736|35
4479736|38
4479736|39
4479736|40
4479736|47
4479736|48
4479736|53
4479736|55
4479736|56
4479736|62
4479736|67
4479736|68
4479736|78
4479736|86
4479736|91
4479736|92
4479736|94
4479736|95
4479736|98
4479736|159
4479736|174
4479736|175
4479736|176
4479736|177
4479736|178
4479736|179
4479736|183
4479736|294
4479736|296
4479736|309
4479736|310
4479736|312
4479736|317
4479736|321
4479736|322
4479736|340
4479736|342
4479736|343
4479736|374
4479736|477
4479736|537
4479736|542
4479736|544
