ruta,error,cuantos
4186088,1,21
4186088,3,11
4186088,4,2
4186325,1,4
4193499,4,1
4203897,4,1
4204283,1,4
4210468,1,6
4210468,4,1
4214222,1,8
4214222,4,1
4217348,1,13
4217348,3,11
4217348,4,3
4217348,6,1
4218962,1,16
4220163,1,11
4220163,3,9
4220163,4,4
4220287,1,6
4220287,3,2
4220334,1,12
4220334,4,1
4220382,1,6
4220382,3,6
4220382,4,1
4220430,1,3
4220430,3,9
4220430,4,2
4222134,1,9
4222134,3,1
4222786,1,6
4222786,3,2
4222786,4,2
4222786,6,1
4222791,4,1
4223687,1,8
4223687,3,4
4223687,4,2
4223798,3,8
4223798,4,5
4223946,1,14
4223946,3,14
4223946,4,3
4224043,1,19
4224043,3,9
4224043,4,2
4224064,1,10
4224064,3,4
4224064,4,1
4224140,1,7
4224140,3,1
4224140,4,2
4224171,1,4
4224171,3,2
4224171,4,1
4224333,1,15
4224333,3,7
4224333,4,3
4224344,1,7
4224344,3,3
4224366,1,7
4224366,3,7
4224366,4,2
4224369,1,5
4224369,3,5
4224379,1,8
4224379,3,4
4224379,4,2
4224379,6,1
4224382,1,7
4224382,3,3
4224382,4,1
4224390,1,11
4224390,3,5
4224390,4,2
4224398,1,5
4224398,3,9
4224422,1,4
4224422,3,4
4224422,4,2
4224422,6,1
4224455,1,8
4224455,3,14
4224455,6,2
4226864,3,10
4226864,4,2
4226864,6,1
4227134,3,16
4227168,1,11
4227168,3,5
4227168,4,3
4227218,3,2
4227218,4,2
4227218,6,1
4227246,1,4
4227246,3,14
4227339,3,8
4227378,3,4
4227460,4,2
4227460,6,1
4227527,3,2
4227527,4,2
4227549,1,8
4227549,3,2
4227584,1,12
4227584,3,4
4227584,4,1
4230140,1,11
4230140,3,17
4230140,4,1
4230229,1,5
4230229,3,7
4230229,4,3
4230845,1,8
4230845,3,16
4230845,4,2
4238954,1,7
4238954,3,7
4238954,4,2
4239855,1,9
4239855,3,7
4239855,6,2
4240062,1,6
4240062,3,20
4240062,4,6
4240062,5,2
4240224,1,6
4240224,3,8
4240306,1,4
4240306,3,10
4240306,4,2
4240306,6,1
4242615,3,7
4242615,5,1
4244341,3,16
4244341,4,5
4245781,3,10
4245804,1,6
4245804,3,8
4245804,4,4
4245910,3,25
4245910,4,2
4245910,5,1
4245915,1,4
4245915,3,8
4245915,4,2
4245915,6,1
4245920,1,13
4245920,3,11
4245920,4,5
4245920,6,1
4248191,1,9
4248191,3,3
4248438,1,9
4248438,3,9
4252696,1,9
4252696,3,5
4252751,1,5
4252751,3,5
4261592,1,7
4261592,3,13
4261592,4,1
4261607,1,5
4261607,3,13
4261629,1,11
4261629,3,25
4261629,4,1
4261629,5,2
4261655,1,6
4261655,3,15
4261655,4,5
4261655,5,1
4261655,6,2
4267328,1,11
4267328,3,19
4267328,4,1
4269638,1,4
4269638,3,16
4269638,4,1
4270170,3,4
4270204,1,4
4270204,3,8
4270204,4,1
4270225,1,4
4270225,3,8
4270225,4,1
4273938,1,5
4273938,3,4
4273938,4,1
4273938,5,1
4273938,6,1
4273943,3,3
4273943,4,1
4273943,5,1
4273943,6,1
4273945,1,3
4273945,3,6
4273945,4,1
4273945,5,1
4273945,6,1
4273973,3,4
4275106,1,4
4275106,3,17
4275106,4,3
4275106,5,1
4275199,1,5
4275199,3,15
4275199,6,2
4275251,3,10
4275251,4,2
4276570,1,5
4276570,3,9
4276585,1,3
4276585,3,9
4276585,4,2
4276630,1,5
4276630,3,5
4276630,4,3
4276630,6,1
4276653,1,3
4276653,3,3
4276653,4,1
4276660,1,3
4276660,3,3
4276666,1,15
4276666,3,5
4276666,4,2
4276666,6,1
4439613,1,8
4439613,3,16
4442976,1,12
4442976,3,16
4442976,4,1
4443104,1,9
4443104,3,13
4443104,4,6
4443210,1,5
4443210,3,5
4443293,1,6
4443293,3,12
4443293,4,4
4443365,1,8
4443365,3,6
4443365,4,1
4443463,1,8
4443463,3,8
4443463,4,6
4446025,1,4
4446025,3,8
4446296,1,4
4446296,3,2
4446296,4,2
4446296,6,1
4455258,1,16
4455258,3,18
4455258,4,3
4455342,1,5
4455342,3,3
4455406,1,7
4455406,3,11
4455849,1,7
4455849,3,11
4455849,4,3
4459515,1,5
4459515,3,7
4459515,4,2
4459572,1,9
4459572,3,5
4459732,1,5
4459732,3,1
4459732,4,2
4459732,6,1
4459740,1,21
4459740,3,9
4459740,4,7
4459792,1,5
4459792,3,13
4459792,4,1
4459804,1,6
4459804,3,10
4459832,1,11
4459832,3,1
4459832,4,2
4459832,6,1
4460622,1,4
4460622,3,4
4460697,1,8
4460697,3,2
4460697,4,3
4460697,6,1
4460768,1,3
4460768,3,3
4462180,1,3
4462180,3,5
4462202,1,18
4462202,3,8
4462202,4,1
4462258,1,5
4462258,3,3
4462264,1,3
4462264,3,3
4462264,4,1
4462275,1,6
4462275,3,10
4462275,4,3
4462275,5,2
4462293,1,6
4462293,3,8
4462293,4,4
4462293,5,2
4462305,3,9
4462305,5,1
4462305,6,1
4462358,1,4
4462358,4,2
4462358,6,1
4462372,1,6
4462372,4,2
4462372,6,1
4464531,1,13
4464531,3,7
4464531,4,5
4464649,1,5
4464649,3,3
4464649,4,1
4464670,1,4
4464670,3,2
4464670,4,1
4464686,1,7
4464686,3,11
4464686,4,1
4464855,1,7
4464855,3,3
4464855,4,4
4464913,3,2
4467102,1,4
4467149,1,7
4467149,3,1
4467149,4,2
4467172,1,14
4467172,3,6
4467172,4,1
4467284,1,4
4467284,3,10
4467284,4,1
4467454,3,6
4467486,1,4
4467486,3,2
4467510,1,3
4467510,3,5
4467530,1,4
4467530,3,2
4470459,3,4
