usuario,ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
GRPIAA3,4185910,0,0,11,153,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4185996,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4186018,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4186088,20,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4186325,4,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4193499,3,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4203897,16,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4204154,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4204283,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4204339,3,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4207525,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4207599,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4210264,7,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4210468,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4211259,33,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4213726,6,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4213753,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4214218,5,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4214222,14,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4217348,13,0,11,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4218929,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4218937,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218948,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218959,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218962,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4220163,11,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4220287,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4220334,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4220382,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4220430,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4222134,8,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4222786,6,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4222791,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4223687,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4223798,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4223946,11,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224043,18,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224064,11,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224140,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224171,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224333,15,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224344,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224366,8,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224369,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224379,8,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4224382,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224390,11,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224398,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224413,8,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4224422,4,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4224455,8,0,13,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4226842,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4226864,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4227134,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227218,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4227246,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227339,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227378,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227460,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4227527,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227549,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227584,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230140,11,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230229,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230265,5,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230381,5,0,19,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4230503,11,0,25,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230845,8,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4238954,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4239855,11,0,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4240062,11,0,33,11,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4240191,6,0,20,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4240224,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4242615,11,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4244341,6,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4245781,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245804,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245910,10,0,28,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245915,8,0,14,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4245920,13,0,13,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4248299,9,0,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4248438,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252696,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252751,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252790,11,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261592,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261607,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261629,11,0,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261655,6,0,18,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4267328,11,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4269638,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
